key,repeat,model,state_index,condition,first_condition,order,decision_date,return_date,regime,recorded,valid,model_digest,error,latency_seconds,prompt_tokens,output_tokens,stop_reason,request_sha256,response_record_sha256,transport_outcome_unknown,action,confidence,reason_labels,cited_episode_ids,desired_exposure,executed_exposure
r1-llama3.3_70b-s1102-hidden,1,llama3.3:70b,1102,hidden,hidden,11,2025-01-06,2025-01-07,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.096482647582889,894,45,stop,3eeee4d39e6d8f539bfdd4db17d033df92304f3ecb9dca4982b9dc71c7e7ade3,135fa69fa9f0cc5cc7794e8cfa3291ec9d78a046759c91b7059b8ca3429d5d10,False,BTC,0.9953746280000872,HIGH_VOLATILITY|BULLISH_ROUTER,,0.4568985520596136,0.45
r1-llama3.3_70b-s1102-exposed,1,llama3.3:70b,1102,exposed,hidden,12,2025-01-06,2025-01-07,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.968391124159098,1397,45,stop,6fab1ec1dace9c33549fd23304b31bb1494d69d164ca45abb106f521927c0d37,5cddc690a675a41d5a227ffb183d3456dbec99f59802fe19902535a88e2978a4,False,BTC,0.9953746280000872,HIGH_VOLATILITY|BULLISH_ROUTER,,0.4568985520596136,0.45
r1-llama3.3_70b-s0047-hidden,1,llama3.3:70b,47,hidden,hidden,13,2022-02-16,2022-02-17,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.113407623022795,896,46,stop,43225d0fd321cee531cebce918121d0247e90f11cdd5e45b3fd702f784526049,82a9a8746ee0c90c7bc481fa7a752a946a09506562406c93c593ba6cf10b269c,False,CASH,0.9697094051762086,HIGH_VOLATILITY|BEARISH_ROUTER,,0.43900417877115727,0.45
r1-llama3.3_70b-s0047-exposed,1,llama3.3:70b,47,exposed,hidden,14,2022-02-16,2022-02-17,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,10.002357369288802,1405,74,stop,9b8fa7efd3fc648437b026f83c43d0ea48555c1a8d645367648c8fa099f1ee97,d6fe60296d49123eccd8378449969324deb014babfbc7443b8329b415535627b,False,CASH,0.9697094051762086,HIGH_VOLATILITY|BEARISH_ROUTER,episode-000411|episode-000409|episode-000410|episode-000408|episode-000407,0.43900417877115727,0.45
r1-llama3.3_70b-s0950-exposed,1,llama3.3:70b,950,exposed,exposed,15,2024-08-07,2024-08-08,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,9.852718017995358,1405,74,stop,a155d450c39fe0d0df91298dc550dd493e3251f89d956ca51456e054aa5cdf9c,27d95061a8e1a106265986b2ab8d9ec5293a30a50cec175b499187dfd3695c06,False,CASH,0.6405151255996256,HIGH_VOLATILITY|BEARISH_ROUTER,episode-000481|episode-000267|episode-000490|episode-000467|episode-001285,0.38108528462118496,0.4
r1-llama3.3_70b-s0950-hidden,1,llama3.3:70b,950,hidden,exposed,16,2024-08-07,2024-08-08,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.192414240911603,897,46,stop,9faff05d2674dc3b0cf154adc78050bda918e8ffedc032be878319e380f59f85,92cb02983e7504893893fc31a75923b1e1ccce3ae24db964cd7ce0826968c9fa,False,CASH,0.6405151255996256,HIGH_VOLATILITY|BEARISH_ROUTER,,0.38108528462118496,0.4
r1-llama3.3_70b-s1032-exposed,1,llama3.3:70b,1032,exposed,exposed,17,2024-10-28,2024-10-29,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,10.422901349142194,1408,79,stop,02de3dfd328e2674e4d162e2c5aaced64f33a4d720b254ed35e36986a0c0c1e2,93e641347ce000d06b61b0112a74363f819cce354c60562ef74934229b20ccae,False,ABSTAIN,0.5954953261333562,HIGH_VOLATILITY|NEGATIVE_MOMENTUM,episode-000910|episode-001367|episode-000853|episode-001253|episode-001252,0.4331843479775955,0.45
r1-llama3.3_70b-s1032-hidden,1,llama3.3:70b,1032,hidden,exposed,18,2024-10-28,2024-10-29,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.426196895539761,890,49,stop,35b605213e7dff7b91a77dafbe8e1613a58f5004671f8766bd9949aa995b4b3e,3a95ff5af1af46381a7a5064d9b1f4da78ba7437007736a2873982b648d17630,False,ABSTAIN,0.6145623356721758,HIGH_VOLATILITY|INSUFFICIENT_EVIDENCE,,0.4331843479775955,0.45
r1-llama3.3_70b-s0410-hidden,1,llama3.3:70b,410,hidden,hidden,19,2023-02-14,2023-02-15,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,5.677586123347282,895,42,stop,62093ec031cb954b8d6a378d2367538d37509960257f5d83bd4cddd59a209cc4,3689cd3415a430b8387b379fb840d44a856e8edbd6c8c9c51fab0d5872c523b7,False,ABSTAIN,0.5989368682753643,INSUFFICIENT_EVIDENCE,,0.4771110911596596,0.5
r1-llama3.3_70b-s0410-exposed,1,llama3.3:70b,410,exposed,hidden,20,2023-02-14,2023-02-15,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,10.399141488596797,1418,78,stop,1444227dd3ec202868b7f41ec442269927218fe46387752e08bcdc75c39f626a,8af7c94d60db507b48697a2b3c3fbbc050fc7dfe8b912584c4862df01aafa041,False,ABSTAIN,0.6328995166836989,HIGH_VOLATILITY|MIXED_OR_UNCERTAIN,episode-000250|episode-000286|episode-000100|episode-000236|episode-000774,0.4771110911596596,0.5
r1-llama3.3_70b-s0261-exposed,1,llama3.3:70b,261,exposed,exposed,21,2022-09-18,2022-09-19,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,7.9546446073800325,1403,55,stop,e4a415637e9805207e83030feba809ff2ab7e92e0e2bc7202134a103a09ff339,f055852ebace9c4e42ac26cebcdaa0e37718c5ef7d59158645e7bc9cf6a8c2c2,False,CASH,0.999610813891717,HIGH_VOLATILITY|BEARISH_ROUTER,episode-000625|episode-000624,0.3762175365814548,0.4
r1-llama3.3_70b-s0261-hidden,1,llama3.3:70b,261,hidden,exposed,22,2022-09-18,2022-09-19,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.120723756030202,895,45,stop,f3fbf8160c651d8be3b99dfb6a11b5c9e703c676c5d2b66ad18f2824fcfd7623,a5fb1d5d64c175f84fdc12fa428135dd35846061ee3710a6bcb218f9c95e450b,False,CASH,0.999610813891717,HIGH_VOLATILITY|BEARISH_ROUTER,,0.3762175365814548,0.4
r1-llama3.3_70b-s0608-exposed,1,llama3.3:70b,608,exposed,exposed,23,2023-08-31,2023-09-01,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,7.653952332213521,1422,51,stop,5d00e4af03e2c271dd8e9558d9d4c1ac62c446e7f9c79278935ecdea384451fa,379cbc49537638d84bb04fa5ec2a056b2d4e9120532ce6d1b8820bba95888845,False,ABSTAIN,0.9596264655593248,HIGH_VOLATILITY|NEGATIVE_MOMENTUM,,0.4588989570657272,0.45
r1-llama3.3_70b-s0608-hidden,1,llama3.3:70b,608,hidden,exposed,24,2023-08-31,2023-09-01,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.020388271659613,893,44,stop,aa06d61f49ebcf3271e24982e363fd951eab179c4d952853db95475c61f3678c,7b35d51830dd21148defa3fd3cddeb578ea0f9d28655252bbae82461225a5f1a,False,ABSTAIN,0.95,HIGH_VOLATILITY|INSUFFICIENT_EVIDENCE,,0.4588989570657272,0.45
r1-qwen3_8b-s0884-exposed,1,qwen3:8b,884,exposed,exposed,25,2024-06-02,2024-06-03,mix,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,8.251713044941425,1964,122,stop,8b3eddd1b3e982dec8342f533d4b69fe4a48a1c5c30589e017fb18c897c61ea4,691e6e6ef5e3fbd1ee27add629a629cdbff6059e0aa386443f73b0462e16adb2,False,ABSTAIN,0.8954245877506227,HIGH_VOLATILITY|INSUFFICIENT_EVIDENCE|HIGH_VOLATILITY,episode-001246|episode-001247|episode-001122|episode-001241|episode-001131,0.4535147648038835,0.45
r1-qwen3_8b-s0884-hidden,1,qwen3:8b,884,hidden,exposed,26,2024-06-02,2024-06-03,mix,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,1.3538570832461119,1178,46,stop,fc3c37f57ddfe6bdc684c707d7a473391cfe0117346269bbcdebc2d3bf9af206,d93dd01559fe4fd0f2839fbf642f3a2bd03b5b0f434ae4a4e457432df6d641c9,False,ABSTAIN,0.693,INSUFFICIENT_EVIDENCE|HIGH_VOLATILITY,,0.4535147648038835,0.45
r1-qwen3_8b-s0166-hidden,1,qwen3:8b,166,hidden,hidden,27,2022-06-15,2022-06-16,bear,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,1.546408200636506,1180,58,stop,30224a0c18e11b833cde915dccfadac7b8842780141dc9c98ca11a9df1660db2,9a9d1181468341de839f1d046c7b4857e6e4e1b13cb57b192bed0d1f113abb5f,False,ABSTAIN,0.999999998654752,HIGH_VOLATILITY|DRAWDOWN_RISK,,0.4313624299371496,0.45
r1-qwen3_8b-s0166-exposed,1,qwen3:8b,166,exposed,hidden,28,2022-06-15,2022-06-16,bear,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,2.695980791002512,1955,120,stop,2a7698e1a16f61c0c147f437125b2677a45c213fd72d1bd3355e814f01f60041,8d6ed69e57742748b2f08dcde89a373418d48872272f8738e0331d9eecc552cf,False,ABSTAIN,0.999999998654752,BEARISH_ROUTER|HIGH_VOLATILITY|DRAWDOWN_RISK,episode-000529|episode-000530|episode-000172|episode-000139|episode-000496,0.4313624299371496,0.45
r1-qwen3_8b-s0814-hidden,1,qwen3:8b,814,hidden,hidden,29,2024-03-24,2024-03-25,bull,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,1.6594388391822577,1174,64,stop,a4bdec66aaaba4c971e001fc77abc6303b036de210c6cee99778fd711b0a0baa,7ee9264ec3ed523d55c8a9e2a653be9dba759b6833587ee1599fc524589465a0,False,BTC,0.999915955521056,BULLISH_ROUTER|POSITIVE_MOMENTUM|HIGH_VOLATILITY,,0.47524307759205076,0.5
r1-qwen3_8b-s0814-exposed,1,qwen3:8b,814,exposed,hidden,30,2024-03-24,2024-03-25,bull,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,2.398524761199951,1983,92,stop,c72c42b78f98fe45bf81ee06a69a2a80387a1ca895b5aea66ee8e1fefffa081b,381e724deca19458e236c6fd08aa970c751325a57492ba0ac568813b02cf9e8c,False,BTC,0.999915955521056,BULLISH_ROUTER|POSITIVE_MOMENTUM|HIGH_VOLATILITY,episode-001178|episode-000295|episode-000827,0.47524307759205076,0.5
r1-qwen3_8b-s0449-exposed,1,qwen3:8b,449,exposed,exposed,31,2023-03-25,2023-03-26,bull,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,2.2938118539750576,1882,86,stop,0eac1a810e383977b3d7ece51b27414aee2fab5430efb3b3b47667f94b5fabfa,b2056d8ab014be1d75b826981c8105b31b707f90f4539d12f534e2af54d30dcb,False,ABSTAIN,0.5,INSUFFICIENT_EVIDENCE|HIGH_VOLATILITY|HIGH_VOLATILITY,episode-000776|episode-000101|episode-000098,0.469478034843603,0.45
r1-qwen3_8b-s0449-hidden,1,qwen3:8b,449,hidden,exposed,32,2023-03-25,2023-03-26,bull,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,1.5164281502366066,1173,61,stop,896ab444649202f6d38f04b8799d5dd6bd67e1e3f4c41658dc351a50ad3dcc2b,818d79e04bcf32949a5710525cfaef95c04cfd3fbea997fb904e29c44f5a4a27,False,ABSTAIN,0.5540440476535516,INSUFFICIENT_EVIDENCE|INSUFFICIENT_EVIDENCE,,0.469478034843603,0.45
r1-qwen3_8b-s0695-hidden,1,qwen3:8b,695,hidden,hidden,33,2023-11-26,2023-11-27,bull,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,1.737292017787695,1177,71,stop,6ce665165b677a632b1347bde2e7052c93428b4851ac92dd6a85c816b628d806,d536bbb334e75e9f2f3d25a9770a0ff7a1b1c031992c8bf0a72370d4256f84fb,False,BTC,0.999445983308852,BULLISH_ROUTER|POSITIVE_MOMENTUM|POSITIVE_MOMENTUM,,0.48590911941093223,0.5
r1-qwen3_8b-s0695-exposed,1,qwen3:8b,695,exposed,hidden,34,2023-11-26,2023-11-27,bull,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,2.384903023019433,1948,98,stop,b0d8e23d366d69eb4bc58b90e306883b2bd4df0f5d9135e38fb4a6e2405ff7b2,7f8eb9ea6378459d06e5f303147f3d38852e5e320fe42e00a2a6b539fc1cbcf6,False,BTC,0.999445983308852,BULLISH_ROUTER|POSITIVE_MOMENTUM|HIGH_VOLATILITY,episode-001057|episode-001058|episode-000837,0.48590911941093223,0.5
r1-qwen3_8b-s1102-hidden,1,qwen3:8b,1102,hidden,hidden,35,2025-01-06,2025-01-07,bull,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,1.8322799243032932,1174,70,stop,76c63c1e658e54f61b3dac0684631ee8807abf12ad942a346b9ca5481dc02a63,fb71377d296778179663407ca766524a20842ce9f4721a3bf7d59da30bb79128,False,BTC,0.9953746280000872,BULLISH_ROUTER|POSITIVE_MOMENTUM|HIGH_VOLATILITY,,0.4568985520596136,0.45
r1-qwen3_8b-s1102-exposed,1,qwen3:8b,1102,exposed,hidden,36,2025-01-06,2025-01-07,bull,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,2.741428568959236,1943,120,stop,6467825a47ae1d10f703d36504b6043f8fd9eba5c70c419c9cc0e28295b759e3,88462a3e1e0e458f239256ff8eb70750aece6e2559eb7003cf9cd159c878d3f5,False,BTC,0.9953746280000872,BULLISH_ROUTER|POSITIVE_MOMENTUM|HIGH_VOLATILITY,episode-000780|episode-001103|episode-001100|episode-001105|episode-000836,0.4568985520596136,0.45
r1-qwen3_8b-s0047-hidden,1,qwen3:8b,47,hidden,hidden,37,2022-02-16,2022-02-17,bear,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,1.3125827237963676,1177,46,stop,9c410d8bbe48769f2742a03f8cf482ff60816ba9a991ffd10ffbc77c8fbe187e,de1af54c3b58fbdc9a181a0dd9135008ce2ae954d04cb6b68f5fef19f0015b8d,False,ABSTAIN,0.9697,BEARISH_ROUTER|HIGH_VOLATILITY,,0.4621096618643761,0.45
r1-qwen3_8b-s0047-exposed,1,qwen3:8b,47,exposed,hidden,38,2022-02-16,2022-02-17,bear,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,2.728264609351754,1952,119,stop,8223e4bca9982be3df0b73c27bd7b3c4365909cd014a0adeadb67d9fa34ce620,f475e34bb2059052200961d5b11c1bec0bc79a1ab175d4050f79922beadd8ed8,False,CASH,0.9697094051762086,HIGH_VOLATILITY|DRAWDOWN_RISK|HIGH_VOLATILITY,episode-000407|episode-000408|episode-000409|episode-000410|episode-000411,0.43900417877115727,0.45
r1-qwen3_8b-s0950-exposed,1,qwen3:8b,950,exposed,exposed,39,2024-08-07,2024-08-08,bear,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,2.747983345761895,1947,121,stop,83b1d4601502299185c22294cbefcf8235154cd723f60e2d0f0f630f9097beb6,a0b8a4f3f726ecb1a6608058b93aacbdbaf542bcd62d0444cdd03582f0a36ee5,False,ABSTAIN,0.6405151255996256,BEARISH_ROUTER|HIGH_VOLATILITY|DRAWDOWN_RISK,episode-000481|episode-000267|episode-000490|episode-000467|episode-001285,0.4011424048644052,0.4
r1-qwen3_8b-s0950-hidden,1,qwen3:8b,950,hidden,exposed,40,2024-08-07,2024-08-08,bear,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,1.5816453006118536,1174,60,stop,35e01219d5986e2767f25da243d6ac9d1481ee321c277df76775fe59958e80ed,26f08c3b0313c80b900f790624ca038795945ac87aa8470c9acddff2b5185321,False,ABSTAIN,0.6405151255996256,INSUFFICIENT_EVIDENCE|HIGH_VOLATILITY,,0.4011424048644052,0.4
r1-qwen3_8b-s1032-exposed,1,qwen3:8b,1032,exposed,exposed,41,2024-10-28,2024-10-29,mix,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,2.8246116433292627,1922,121,stop,46ff9028a1a5061c236da7a3549dc53f3cc1423f0da32e1751577efb10f354b4,acd90503d0093d6ca8b48ba428e1d3f67fc4e32888177c7af5e7c5822ec19d51,False,ABSTAIN,0.5954953261333562,INSUFFICIENT_EVIDENCE|HIGH_VOLATILITY|HIGH_VOLATILITY,episode-000910|episode-001367|episode-000853|episode-001253|episode-001252,0.4331843479775955,0.45
r1-qwen3_8b-s1032-hidden,1,qwen3:8b,1032,hidden,exposed,42,2024-10-28,2024-10-29,mix,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,1.594326764345169,1161,64,stop,d3108a1ab05942c3dd4da774c8a9381d9359888af957cc9b40dc36f18e2db4ea,00ab8a1e296f049cc55ccbc6ab738b9787d9eddbae20126482d8b05d0fcf7173,False,ABSTAIN,0.6145623356721758,INSUFFICIENT_EVIDENCE|HIGH_VOLATILITY,,0.4331843479775955,0.45
r1-qwen3_8b-s0410-hidden,1,qwen3:8b,410,hidden,hidden,43,2023-02-14,2023-02-15,mix,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,1.3457103297114372,1172,47,stop,466da1018d20bacb8ebc65db450157c1c9ab0ea9537af41ea474abc5686545e8,ed3d44db249f18c4e776861024e1a73d83f167925b72afb870fc2321a175d198,False,ABSTAIN,0.6329,INSUFFICIENT_EVIDENCE|HIGH_VOLATILITY,,0.4771110911596596,0.5
r1-qwen3_8b-s0410-exposed,1,qwen3:8b,410,exposed,hidden,44,2023-02-14,2023-02-15,mix,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,2.812833573669195,1942,123,stop,61597e3c2c899642798c1a0e379378ddc591b3c549f12791ae31470910e0aa58,0e5fed2133784602e9f1079c20c1c31c529350bdb8b133bc4605fbcf44f28be0,False,ABSTAIN,0.6328995166836989,HIGH_VOLATILITY|INSUFFICIENT_EVIDENCE|HIGH_VOLATILITY,episode-000250|episode-000286|episode-000100|episode-000236|episode-000774,0.4771110911596596,0.5
r1-qwen3_8b-s0261-exposed,1,qwen3:8b,261,exposed,exposed,45,2022-09-18,2022-09-19,bear,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,2.458886532112956,1945,99,stop,48239a7798c83bcf49fd0f754c5e0bebc2d4b013558d69150595e896f4bf306a,202e5ef112db7753f2d623a9cb4117feaeb770dd0638de36d5e46513ae94de51,False,ABSTAIN,0.999610813891717,BEARISH_ROUTER|HIGH_VOLATILITY|DRAWDOWN_RISK,episode-000625|episode-000598|episode-000431,0.3960184595594261,0.4
r1-qwen3_8b-s0261-hidden,1,qwen3:8b,261,hidden,exposed,46,2022-09-18,2022-09-19,bear,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,1.685910427942872,1174,71,stop,d98076234ccecb19b507927702761f670d1b1124b4946729076d089be6e4137f,009e03b72b19de18dfcce223ccafb449bac2d6a1bc60a02e34dc028fdd71ecf1,False,ABSTAIN,0.999610813891717,BEARISH_ROUTER|HIGH_VOLATILITY|NEGATIVE_MOMENTUM,,0.3960184595594261,0.4
r1-qwen3_8b-s0608-exposed,1,qwen3:8b,608,exposed,exposed,47,2023-08-31,2023-09-01,mix,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,2.764868475496769,1959,122,stop,aef4772a31cf4809aeca5ead4be906e374f6d0e90946ee9cddce58a762b8423c,e64af455f37ecf19845195a174cd59003a96b9fd6aae3c519bc7a170ae2c947b,False,ABSTAIN,0.9596264655593248,HIGH_VOLATILITY|DRAWDOWN_RISK|INSUFFICIENT_EVIDENCE,episode-000865|episode-000867|episode-000868|episode-000869|episode-000896,0.4588989570657272,0.45
r1-qwen3_8b-s0608-hidden,1,qwen3:8b,608,hidden,exposed,48,2023-08-31,2023-09-01,mix,True,True,500a1f067a9f782620b40bee6f7b0c89e17ae61f686b92c24933e4ca4b2b8b41,,1.4718246292322874,1171,59,stop,ae45bba7363e0ee424d16124f0f025033406ae875c64c52df8e8bb2cf87c44cc,d92e5ada4c6b6f9f2f9ed72d215c3bb3a46af10ac7710c2a90804b7a9a167314,False,ABSTAIN,0.9596264655593248,INSUFFICIENT_EVIDENCE|HIGH_VOLATILITY,,0.4588989570657272,0.45
