model,state_index,decision_date,cross_all_nine_pairs_advice_disagreement,cross_all_nine_pairs_execution_disagreement,within_exposed_three_pairs_advice_disagreement,within_exposed_three_pairs_execution_disagreement,within_hidden_three_pairs_advice_disagreement,within_hidden_three_pairs_execution_disagreement,cross_minus_mean_within_advice_disagreement,cross_minus_mean_within_execution_disagreement
llama3.3:70b,35,2022-02-04,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,36,2022-02-05,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,37,2022-02-06,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,38,2022-02-07,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,39,2022-02-08,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,40,2022-02-09,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,41,2022-02-10,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,42,2022-02-11,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,43,2022-02-12,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,44,2022-02-13,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,45,2022-02-14,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,46,2022-02-15,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,47,2022-02-16,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,48,2022-02-17,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,49,2022-02-18,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,50,2022-02-19,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,51,2022-02-20,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,52,2022-02-21,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,53,2022-02-22,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,54,2022-02-23,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,55,2022-02-24,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,56,2022-02-25,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,57,2022-02-26,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,58,2022-02-27,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,59,2022-02-28,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,60,2022-03-01,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,61,2022-03-02,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,62,2022-03-03,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,63,2022-03-04,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,64,2022-03-05,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,65,2022-03-06,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,66,2022-03-07,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,67,2022-03-08,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,68,2022-03-09,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,69,2022-03-10,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,70,2022-03-11,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,71,2022-03-12,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,72,2022-03-13,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,73,2022-03-14,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,74,2022-03-15,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,75,2022-03-16,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,76,2022-03-17,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,77,2022-03-18,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,78,2022-03-19,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,79,2022-03-20,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,80,2022-03-21,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,81,2022-03-22,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,82,2022-03-23,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,83,2022-03-24,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,84,2022-03-25,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,85,2022-03-26,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,86,2022-03-27,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,87,2022-03-28,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,88,2022-03-29,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,89,2022-03-30,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,90,2022-03-31,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,91,2022-04-01,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,92,2022-04-02,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,93,2022-04-03,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,94,2022-04-04,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,95,2022-04-05,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,96,2022-04-06,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,97,2022-04-07,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,98,2022-04-08,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,99,2022-04-09,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,100,2022-04-10,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,101,2022-04-11,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,102,2022-04-12,1,0,0,0,0,0,1.0,0.0
llama3.3:70b,103,2022-04-13,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,104,2022-04-14,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,105,2022-04-15,1,0,0,0,0,0,1.0,0.0
llama3.3:70b,106,2022-04-16,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,107,2022-04-17,1,0,0,0,0,0,1.0,0.0
llama3.3:70b,108,2022-04-18,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,109,2022-04-19,1,0,0,0,0,0,1.0,0.0
llama3.3:70b,110,2022-04-20,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,111,2022-04-21,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,112,2022-04-22,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,113,2022-04-23,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,114,2022-04-24,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,115,2022-04-25,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,116,2022-04-26,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,117,2022-04-27,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,118,2022-04-28,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,119,2022-04-29,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,120,2022-04-30,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,121,2022-05-01,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,122,2022-05-02,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,123,2022-05-03,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,124,2022-05-04,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,125,2022-05-05,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,126,2022-05-06,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,127,2022-05-07,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,128,2022-05-08,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,129,2022-05-09,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,130,2022-05-10,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,131,2022-05-11,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,132,2022-05-12,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,133,2022-05-13,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,134,2022-05-14,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,135,2022-05-15,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,136,2022-05-16,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,137,2022-05-17,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,138,2022-05-18,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,139,2022-05-19,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,140,2022-05-20,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,141,2022-05-21,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,142,2022-05-22,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,143,2022-05-23,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,144,2022-05-24,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,145,2022-05-25,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,146,2022-05-26,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,147,2022-05-27,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,148,2022-05-28,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,149,2022-05-29,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,150,2022-05-30,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,151,2022-05-31,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,152,2022-06-01,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,153,2022-06-02,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,154,2022-06-03,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,155,2022-06-04,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,156,2022-06-05,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,157,2022-06-06,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,158,2022-06-07,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,159,2022-06-08,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,160,2022-06-09,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,161,2022-06-10,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,162,2022-06-11,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,163,2022-06-12,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,164,2022-06-13,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,165,2022-06-14,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,166,2022-06-15,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,167,2022-06-16,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,168,2022-06-17,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,169,2022-06-18,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,170,2022-06-19,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,171,2022-06-20,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,172,2022-06-21,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,173,2022-06-22,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,174,2022-06-23,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,175,2022-06-24,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,176,2022-06-25,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,177,2022-06-26,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,178,2022-06-27,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,179,2022-06-28,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,180,2022-06-29,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,181,2022-06-30,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,182,2022-07-01,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,183,2022-07-02,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,184,2022-07-03,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,185,2022-07-04,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,186,2022-07-05,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,187,2022-07-06,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,188,2022-07-07,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,189,2022-07-08,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,190,2022-07-09,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,191,2022-07-10,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,192,2022-07-11,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,193,2022-07-12,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,194,2022-07-13,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,195,2022-07-14,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,196,2022-07-15,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,197,2022-07-16,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,198,2022-07-17,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,199,2022-07-18,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,200,2022-07-19,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,201,2022-07-20,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,202,2022-07-21,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,203,2022-07-22,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,204,2022-07-23,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,205,2022-07-24,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,206,2022-07-25,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,207,2022-07-26,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,208,2022-07-27,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,209,2022-07-28,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,210,2022-07-29,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,211,2022-07-30,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,212,2022-07-31,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,213,2022-08-01,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,214,2022-08-02,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,215,2022-08-03,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,216,2022-08-04,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,217,2022-08-05,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,218,2022-08-06,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,219,2022-08-07,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,220,2022-08-08,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,221,2022-08-09,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,222,2022-08-10,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,223,2022-08-11,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,224,2022-08-12,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,225,2022-08-13,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,226,2022-08-14,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,227,2022-08-15,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,228,2022-08-16,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,229,2022-08-17,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,230,2022-08-18,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,231,2022-08-19,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,232,2022-08-20,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,233,2022-08-21,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,234,2022-08-22,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,235,2022-08-23,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,236,2022-08-24,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,237,2022-08-25,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,238,2022-08-26,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,239,2022-08-27,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,240,2022-08-28,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,241,2022-08-29,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,242,2022-08-30,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,243,2022-08-31,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,244,2022-09-01,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,245,2022-09-02,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,246,2022-09-03,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,247,2022-09-04,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,248,2022-09-05,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,249,2022-09-06,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,250,2022-09-07,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,251,2022-09-08,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,252,2022-09-09,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,253,2022-09-10,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,254,2022-09-11,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,255,2022-09-12,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,256,2022-09-13,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,257,2022-09-14,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,258,2022-09-15,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,259,2022-09-16,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,260,2022-09-17,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,261,2022-09-18,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,262,2022-09-19,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,263,2022-09-20,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,264,2022-09-21,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,265,2022-09-22,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,266,2022-09-23,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,267,2022-09-24,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,268,2022-09-25,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,269,2022-09-26,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,270,2022-09-27,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,271,2022-09-28,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,272,2022-09-29,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,273,2022-09-30,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,274,2022-10-01,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,275,2022-10-02,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,276,2022-10-03,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,277,2022-10-04,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,278,2022-10-05,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,279,2022-10-06,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,280,2022-10-07,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,281,2022-10-08,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,282,2022-10-09,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,283,2022-10-10,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,284,2022-10-11,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,285,2022-10-12,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,286,2022-10-13,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,287,2022-10-14,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,288,2022-10-15,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,289,2022-10-16,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,290,2022-10-17,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,291,2022-10-18,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,292,2022-10-19,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,293,2022-10-20,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,294,2022-10-21,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,295,2022-10-22,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,296,2022-10-23,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,297,2022-10-24,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,298,2022-10-25,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,299,2022-10-26,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,300,2022-10-27,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,301,2022-10-28,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,302,2022-10-29,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,303,2022-10-30,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,304,2022-10-31,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,305,2022-11-01,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,306,2022-11-02,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,307,2022-11-03,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,308,2022-11-04,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,309,2022-11-05,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,310,2022-11-06,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,311,2022-11-07,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,312,2022-11-08,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,313,2022-11-09,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,314,2022-11-10,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,315,2022-11-11,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,316,2022-11-12,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,317,2022-11-13,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,318,2022-11-14,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,319,2022-11-15,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,320,2022-11-16,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,321,2022-11-17,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,322,2022-11-18,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,323,2022-11-19,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,324,2022-11-20,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,325,2022-11-21,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,326,2022-11-22,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,327,2022-11-23,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,328,2022-11-24,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,329,2022-11-25,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,330,2022-11-26,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,331,2022-11-27,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,332,2022-11-28,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,333,2022-11-29,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,334,2022-11-30,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,335,2022-12-01,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,336,2022-12-02,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,337,2022-12-03,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,338,2022-12-04,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,339,2022-12-05,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,340,2022-12-06,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,341,2022-12-07,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,342,2022-12-08,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,343,2022-12-09,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,344,2022-12-10,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,345,2022-12-11,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,346,2022-12-12,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,347,2022-12-13,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,348,2022-12-14,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,349,2022-12-15,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,350,2022-12-16,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,351,2022-12-17,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,352,2022-12-18,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,353,2022-12-19,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,354,2022-12-20,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,355,2022-12-21,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,356,2022-12-22,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,357,2022-12-23,0,0,0,0,0,0,0.0,0.0
llama3.3:70b,358,2022-12-24,0,0,0,0,0,0,0.0,0.0
