key,repeat,model,state_index,condition,first_condition,order,decision_date,return_date,regime,recorded,valid,model_digest,error,latency_seconds,prompt_tokens,output_tokens,stop_reason,request_sha256,response_record_sha256,transport_outcome_unknown,action,confidence,reason_labels,cited_episode_ids,desired_exposure,executed_exposure
r1-llama3.3_70b-s0372-exposed,1,llama3.3:70b,372,exposed,exposed,11,2023-01-07,2023-01-08,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,10.517192721366882,1423,79,stop,ffd35dc39d742119f863a36f55030d7d8811d6a0dbea1dfb2f825f011ea56bb8,01cd1b6355a94dec237129937903223ccdac071a187b1979301bb613e6929790,False,ABSTAIN,0.9599764281773387,HIGH_VOLATILITY|NEGATIVE_MOMENTUM,episode-000733|episode-000670|episode-000668|episode-000669|episode-000676,0.4765062341725479,0.45
r1-llama3.3_70b-s0372-hidden,1,llama3.3:70b,372,hidden,exposed,12,2023-01-07,2023-01-08,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.111512450501323,897,46,stop,da327199eb09fe0cfae61d11190de492431d51f97550ada32a23421758aca465,01196b24573142bbaf7bf55ff7c24559a735802a2914b7497760933ae93b1d4f,False,ABSTAIN,0.95,HIGH_VOLATILITY|NEGATIVE_MOMENTUM,,0.4765062341725479,0.45
r1-llama3.3_70b-s0738-exposed,1,llama3.3:70b,738,exposed,exposed,13,2024-01-08,2024-01-09,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,8.059543766081333,1392,55,stop,2dd481e56c05ef13f0e2170902c269c4178b44687819c86aadd2b7e86b4e8107,54c09267e06a64416a5963aa696cc52000c74fa8fa8d1a3008ea7ae4a2f7d372,False,BTC,0.9985097618457832,HIGH_VOLATILITY|BULLISH_ROUTER,episode-001062|episode-001097,0.4759586199623913,0.5
r1-llama3.3_70b-s0738-hidden,1,llama3.3:70b,738,hidden,exposed,14,2024-01-08,2024-01-09,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.0413919277489185,888,45,stop,c58f36b5a60b553a49ecfa8b1c6af47c9dd00e38a99dd4d348f4704a73f2964c,cc781b2203fbe771f55725db1948f705bed05e642ade2071769b322830c06853,False,BTC,0.9985097618457832,HIGH_VOLATILITY|BULLISH_ROUTER,,0.4759586199623913,0.5
r1-llama3.3_70b-s0674-hidden,1,llama3.3:70b,674,hidden,hidden,15,2023-11-05,2023-11-06,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.001838570460677,902,45,stop,48065cd46905c76c65f345b8feb60ffa266b3a86fdbda0702c78111cf76563bc,5146296a74a26df04b01d07c59b49db2555cc9732d37c5bd32f8f0068951419c,False,BTC,0.9999734770856205,HIGH_VOLATILITY|BULLISH_ROUTER,,0.48590882255917545,0.5
r1-llama3.3_70b-s0674-exposed,1,llama3.3:70b,674,exposed,hidden,16,2023-11-05,2023-11-06,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,8.131500789895654,1405,55,stop,3576267fe1b58665265d2b7b58bd18c7da820a2f107ea67b1a1c87f46ca18a42,981e246f112bc2d95634b8106f5a68e26f6cc15b0dd0e6abdfc56e9d825d1d85,False,BTC,0.9999734770856205,HIGH_VOLATILITY|BULLISH_ROUTER,episode-001037|episode-001034,0.48590882255917545,0.5
r1-llama3.3_70b-s0266-exposed,1,llama3.3:70b,266,exposed,exposed,17,2022-09-23,2022-09-24,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,10.030395980924368,1408,74,stop,678849824594206d3c023befd2e100606ddb1dfa6138e182c04b338a1d2bfd59,55e25082551784681c03b5d530066710a9ec0b9e093d1d065a53a47c5493be3e,False,CASH,0.9996922656305036,HIGH_VOLATILITY|BEARISH_ROUTER,episode-000630|episode-000272|episode-000273|episode-000436|episode-000628,0.3762109876300274,0.4
r1-llama3.3_70b-s0266-hidden,1,llama3.3:70b,266,hidden,exposed,18,2022-09-23,2022-09-24,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.186880668625236,899,46,stop,3cdf7340b59990454836787597956d2b696c81deebe84b1f526487fed92d9da2,022d903492c271af7d4af9aad760e681556c055ca43a18c5d31825e8f56449fe,False,CASH,0.9996922656305036,HIGH_VOLATILITY|BEARISH_ROUTER,,0.3762109876300274,0.4
r1-llama3.3_70b-s0069-hidden,1,llama3.3:70b,69,hidden,hidden,19,2022-03-10,2022-03-11,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.112527819350362,895,46,stop,84829ff3b8b8001ef206ab1375b2239bc13451884c723784be63a37e8ff59c50,45cd299343397af410dd605e48f8a4606c320be4ea52d43e4b6f8cb2149c4a8b,False,CASH,0.9938820788214072,HIGH_VOLATILITY|BEARISH_ROUTER,,0.43119272680256454,0.45
r1-llama3.3_70b-s0069-exposed,1,llama3.3:70b,69,exposed,hidden,20,2022-03-10,2022-03-11,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,8.157450836151838,1397,56,stop,0edd6381ccfc83f90e92faccf8ee52b4254479a55a4acb891a517989b53255e8,31cb7f70d0d59f65d0d85cb333ef8549a57dfdfb677f12fd595dcd4c404d6de7,False,CASH,0.9938820788214072,HIGH_VOLATILITY|BEARISH_ROUTER,episode-000272|episode-000433,0.43119272680256454,0.45
r1-llama3.3_70b-s0346-exposed,1,llama3.3:70b,346,exposed,exposed,21,2022-12-12,2022-12-13,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,8.766982497647405,1398,62,stop,bcd4b0f7ad27f8eef7462fb80f9afd98980e1675ffed48f228f30e27843ff091,9c8b76a06c8570d8cbe051604b69f8033e673b90e7b767b75aff7c7910865d9a,False,CASH,0.7233093341459162,HIGH_VOLATILITY|BEARISH_ROUTER,episode-000657|episode-000710|episode-000656,0.387376360101978,0.4
r1-llama3.3_70b-s0346-hidden,1,llama3.3:70b,346,hidden,exposed,22,2022-12-12,2022-12-13,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.165332904085517,891,46,stop,69169807dcaa5e8747e456cdd658de75b8a758927e46a62539c197994a268b53,ec399241cc0d82d0bfa041180a2173c7d23f63a97b1a43dfd28f68be6a5f8662,False,CASH,0.7233093341459162,HIGH_VOLATILITY|BEARISH_ROUTER,,0.387376360101978,0.4
r1-llama3.3_70b-s0937-exposed,1,llama3.3:70b,937,exposed,exposed,23,2024-07-25,2024-07-26,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,10.490549279376864,1421,79,stop,7614553bb342cf231ed174465b9e761b0ec2e03a99436d5e78ffcc4fe3b72b0b,fa4ac19ed937d483b5c5e7f7fc151f605bb051759b3c1e39c993abbfb410ef64,False,ABSTAIN,0.9025875753026928,HIGH_VOLATILITY|NEGATIVE_MOMENTUM,episode-001241|episode-001255|episode-001249|episode-001240|episode-001122,0.4486256560144124,0.45
r1-llama3.3_70b-s0937-hidden,1,llama3.3:70b,937,hidden,exposed,24,2024-07-25,2024-07-26,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,5.376516183838248,895,37,stop,232f0dcef01dbbd90ef888e6e4e0ccb87fc5a9e8d9acf215f6117f298f9fc5b4,0551d4a5e3e302df779b0114255a1866a5bdbbe507cef656d429e7f46a90a21a,False,ABSTAIN,0.8,INSUFFICIENT_EVIDENCE,,0.4486256560144124,0.45
r1-llama3.3_70b-s0802-hidden,1,llama3.3:70b,802,hidden,hidden,25,2024-03-12,2024-03-13,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.0242052134126425,903,45,stop,818f5c3f942818964aa685733c52db7ee1bfe08b47f20cdc87a26468cab47d59,8a6ff94f82b445fba24efdd46ce8e7b6e2a77c341e80f9e25fdf4c1cbe42f55d,False,BTC,0.9999999890334582,HIGH_VOLATILITY|BULLISH_ROUTER,,0.47524213394308423,0.5
r1-llama3.3_70b-s0802-exposed,1,llama3.3:70b,802,exposed,hidden,26,2024-03-12,2024-03-13,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,8.17727136053145,1442,55,stop,67348e6fc45a2f35e3732d701c39b13f23f0440909cf42fdee1ea353421c6deb,9a709cd7a82618b653d172498bfcdecd60bb472d783bb6d1b6c54cc8a3cd4dc6,False,BTC,0.9999999890334582,HIGH_VOLATILITY|BULLISH_ROUTER,episode-001164|episode-001165,0.47524213394308423,0.5
r1-llama3.3_70b-s0536-exposed,1,llama3.3:70b,536,exposed,exposed,27,2023-06-20,2023-06-21,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,10.412185130640864,1417,78,stop,de5b71b0513fd3e626431106b5820a49b7c6736776770fc21eae59e3157e4544,3d7c4d4818e5e944ee1ed57c9f16fe55808e6d6300d147f72e2738d409736d9a,False,ABSTAIN,0.978085583455144,HIGH_VOLATILITY|NEGATIVE_MOMENTUM,episode-000742|episode-000261|episode-000454|episode-000802|episode-000260,0.4757895943692693,0.5
r1-llama3.3_70b-s0536-hidden,1,llama3.3:70b,536,hidden,exposed,28,2023-06-20,2023-06-21,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.364692639559507,890,48,stop,5a20469167c10b6930899b92a02e52b2836abee64b5f9dfd291f6ce82498a0aa,aaec839d883c4d4cdc8eaebda9a07d02dd035e264bcd94128918b349a8e49ff1,False,ABSTAIN,0.978085583455144,HIGH_VOLATILITY|INSUFFICIENT_EVIDENCE,,0.4757895943692693,0.5
r1-llama3.3_70b-s1173-hidden,1,llama3.3:70b,1173,hidden,hidden,29,2025-03-18,2025-03-19,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,5.980340437963605,900,45,stop,98c9eaccc2090f7b936c9be4f4d3d28e7e1781c0833ffa74d766f5e5a395eb4e,9bc19fd7ec754096eeeddfddc2a2f5453f88f1d63c5b3818992cf0babf5fbcdd,False,CASH,0.96826506516007,HIGH_VOLATILITY|BEARISH_ROUTER,,0.35981209858691304,0.35000000000000003
r1-llama3.3_70b-s1173-exposed,1,llama3.3:70b,1173,exposed,hidden,30,2025-03-18,2025-03-19,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,9.863968497142196,1398,73,stop,e1b8cd8721b13ffb7e37738c6974c18826e81de5848e7856a11359a7a42db594,cbb43b50717d7d0eb1ea05e7ac5e75dde6389d333c4bff5b4f457e512fd65e08,False,CASH,0.96826506516007,HIGH_VOLATILITY|BEARISH_ROUTER,episode-000270|episode-001536|episode-000271|episode-000489|episode-000362,0.35981209858691304,0.35000000000000003
r1-llama3.3_70b-s0210-exposed,1,llama3.3:70b,210,exposed,exposed,31,2022-07-29,2022-07-30,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,9.959377244114876,1407,74,stop,a8fce4ab77a28ef54710b0a9280528bdd59248e32a3390fedd5c19b155a200d7,75ff97275b7443d18adde0a303a96f9de5e632afdc8b5e7bdff473971a4e2d9c,False,CASH,0.9992764185118208,HIGH_VOLATILITY|BEARISH_ROUTER,episode-000574|episode-000568|episode-000569|episode-000573|episode-000206,0.39221898391870985,0.4
r1-llama3.3_70b-s0210-hidden,1,llama3.3:70b,210,hidden,exposed,32,2022-07-29,2022-07-30,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.17643066495657,898,46,stop,b10a05397ef5f0337fc90a998d455d8303827d5c5b86579f8c54cc8c1d105e37,38605f631d756349f6582389294a726803c3fe3c85c9f0d15db660b0f63e1ee7,False,CASH,0.9992764185118208,HIGH_VOLATILITY|BEARISH_ROUTER,,0.39221898391870985,0.4
r1-llama3.3_70b-s0333-hidden,1,llama3.3:70b,333,hidden,hidden,33,2022-11-29,2022-11-30,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,5.978612529113889,905,45,stop,8223724088eca7bc9526af079924d08e8e038a3ae9315006c20a1b69bb10c960,3a90db4a58f09b282587361c43fce6f1e5d716c906275fab7aa0f548a5bc92c1,False,CASH,0.999959163056591,HIGH_VOLATILITY|BEARISH_ROUTER,,0.3644795917125987,0.35000000000000003
r1-llama3.3_70b-s0333-exposed,1,llama3.3:70b,333,exposed,hidden,34,2022-11-29,2022-11-30,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,9.925944950431585,1414,73,stop,d345496060d5ecb74ef9c8b44299a2f45c8d78e8a8cdf64586a3180d2260d6a6,a3c38a427f3775a36b4bb9ab22831dacddfb43ca19a3a41b960683bce89e9cdd,False,CASH,0.999959163056591,HIGH_VOLATILITY|BEARISH_ROUTER,episode-000696|episode-000697|episode-000694|episode-000693|episode-000695,0.3644795917125987,0.35000000000000003
r1-llama3.3_70b-s0855-exposed,1,llama3.3:70b,855,exposed,exposed,35,2024-05-04,2024-05-05,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,7.673597736284137,1417,51,stop,ce9d45c78c8c832c8dea61e64c17d37f82ca5f8ab166956256e173facd3e80e3,40b278d02cad9fbfa63d500ecc2cce59ef497f21333c5ae39af8ea71254b6353,False,ABSTAIN,0.9917780729284515,HIGH_VOLATILITY|NEGATIVE_MOMENTUM,,0.459160345202027,0.45
r1-llama3.3_70b-s0855-hidden,1,llama3.3:70b,855,hidden,exposed,36,2024-05-04,2024-05-05,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.647565444931388,888,51,stop,227f4c22b4d8fb2be9cea6effb907054db4059e879b725610cb3796123d4fb59,09cd5ce52cd806bf8c5342224f9c1d27bb687e0c1caf32419b40729264cbf1b1,False,ABSTAIN,0.9917780729284515,HIGH_VOLATILITY|NEGATIVE_MOMENTUM,,0.459160345202027,0.45
r1-llama3.3_70b-s1041-exposed,1,llama3.3:70b,1041,exposed,exposed,37,2024-11-06,2024-11-07,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,8.692812081426382,1393,61,stop,6d1c16394ca811f395aa9d1dae9d2abbddf22ce23b92e37c664d2c873d9386f3,68cd2a0e549daff49dd61f3af82c146fa91ff59ed9d26e39015000400765fabe,False,BTC,0.9844354143273732,HIGH_VOLATILITY|BULLISH_ROUTER,episode-000777|episode-000104|episode-000913,0.4667513764716749,0.45
r1-llama3.3_70b-s1041-hidden,1,llama3.3:70b,1041,hidden,exposed,38,2024-11-06,2024-11-07,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.076867708936334,889,45,stop,0ced88f7fc818c39d91451668b0418f46139c4b8f408029f26e7535475553f0b,1f32c9a46809c28f8b34ee082e2579226ada8ad66685028c046bd6898fb2b92a,False,BTC,0.9844354143273732,HIGH_VOLATILITY|BULLISH_ROUTER,,0.4667513764716749,0.45
r1-llama3.3_70b-s0548-exposed,1,llama3.3:70b,548,exposed,exposed,39,2023-07-02,2023-07-03,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,7.1906720120459795,1448,45,stop,ca74728d2ba0a6d70ee00be5c81611e00ca4018688802c8ccee275494436de71,5f8158bec4dc5079c5d50ae24f8ba7103ff22ddb75e321259364c73568b0ac0e,False,BTC,0.9644542229144348,HIGH_VOLATILITY|BULLISH_ROUTER,,0.48631899511304105,0.5
r1-llama3.3_70b-s0548-hidden,1,llama3.3:70b,548,hidden,exposed,40,2023-07-02,2023-07-03,bull,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.113190956413746,899,45,stop,e76e43376b515320262e4c0e9eb45a348437c9889a012c5f612c418a66bdb2bb,af5145ed4b2cf114dccad4fcd43bd526f7ddc5d7d16243ba25c5fa116d467f80,False,BTC,0.9644542229144348,HIGH_VOLATILITY|BULLISH_ROUTER,,0.48631899511304105,0.5
r1-llama3.3_70b-s0112-hidden,1,llama3.3:70b,112,hidden,hidden,41,2022-04-22,2022-04-23,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.104028761386871,895,46,stop,c6c7e17d33d579e9338649bff30b8b157d2b8396f80f168d6c733e065d263316,d7cefbf02e5af9623c278aea769e0a4edffc0c64cbd16279be44c2ed891929ab,False,CASH,0.5773557695243628,HIGH_VOLATILITY|BEARISH_ROUTER,,0.43692383002916035,0.45
r1-llama3.3_70b-s0112-exposed,1,llama3.3:70b,112,exposed,hidden,42,2022-04-22,2022-04-23,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,8.139151511713862,1390,56,stop,bd6721d7cd83880fbb0d10a5086314e26ff379f5e4bf4ac3a0d0d27a9cf9267e,62247c57bcee81526f97c4a1a08ae17d8c6873eaec3b32150ea5c42d969a5fe2,False,CASH,0.5773557695243628,HIGH_VOLATILITY|BEARISH_ROUTER,episode-000470|episode-000474,0.43692383002916035,0.45
r1-llama3.3_70b-s1012-exposed,1,llama3.3:70b,1012,exposed,exposed,43,2024-10-08,2024-10-09,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,9.314408564940095,1417,67,stop,2e110f194d80d865f1f40e038d596829bd93bb4277dc6f596c47c1bc67df82da,d197feb4dee8ca66102e15cf6aabac8c5bb94fd736b4ec89e1632385a8b4b773,False,ABSTAIN,0.7835616699925309,HIGH_VOLATILITY|NEGATIVE_MOMENTUM,episode-001011|episode-001013|episode-001014,0.4313971655924803,0.45
r1-llama3.3_70b-s1012-hidden,1,llama3.3:70b,1012,hidden,exposed,44,2024-10-08,2024-10-09,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,5.807605914771557,897,42,stop,666031197f32be0230e3d9462842c3b3d11ef8a17c639f19f4ad8cb0e9e76fa1,6e140a6c14db4688e152cdd7aea3700d44415b52a1bc52866425569d981381f0,False,ABSTAIN,0.7835616699925309,INSUFFICIENT_EVIDENCE,,0.4313971655924803,0.45
r1-llama3.3_70b-s0184-exposed,1,llama3.3:70b,184,exposed,exposed,45,2022-07-03,2022-07-04,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,10.05958903953433,1428,74,stop,8c9529bfa9556ff14f8dd865dc219489d7d3e33047f655f74f684285c5275612,388b8789f2b3ceb6d174faf09d61e066682e8fcaffa8d9d0be258a775f84eb2a,False,CASH,0.9999999999823148,HIGH_VOLATILITY|BEARISH_ROUTER,episode-000547|episode-000548|episode-000537|episode-000536|episode-000546,0.39217237317701487,0.35000000000000003
r1-llama3.3_70b-s0184-hidden,1,llama3.3:70b,184,hidden,exposed,46,2022-07-03,2022-07-04,bear,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,6.200161565095186,919,46,stop,f509b5385e95ae581ae906249206d8812dcbdb734df250f2b578364b20c947b5,cedb6e79f330f91253b25e819670090a1f83fcdd34ac098988172d0319fee5c9,False,CASH,0.9999999999823148,HIGH_VOLATILITY|BEARISH_ROUTER,,0.39217237317701487,0.35000000000000003
r1-llama3.3_70b-s0593-hidden,1,llama3.3:70b,593,hidden,hidden,47,2023-08-16,2023-08-17,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,5.7093555200845,892,42,stop,9b4a74e7b067a4bbf52c675be4b0808c468a3b27f8c44a785aeac817f8e2daf9,bdfba404fb630f090e5e7c28cc776caf79ac472b5c641839e3095d39d9e2c104,False,ABSTAIN,0.9340162218418449,INSUFFICIENT_EVIDENCE,,0.470192648950627,0.45
r1-llama3.3_70b-s0593-exposed,1,llama3.3:70b,593,exposed,hidden,48,2023-08-16,2023-08-17,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,10.525890558958054,1414,79,stop,02bcbdc01ec3ce6ba37dc92fd91fe747963313497c717a2f871102fb24f65655,686cedd9f17917142e9eb57107636f58c90d63900b692417145a25906f68e7f9,False,ABSTAIN,0.9340162218418449,HIGH_VOLATILITY|NEGATIVE_MOMENTUM,episode-000940|episode-000937|episode-000941|episode-000950|episode-000944,0.470192648950627,0.45
r1-llama3.3_70b-s0623-exposed,1,llama3.3:70b,623,exposed,exposed,49,2023-09-15,2023-09-16,mix,True,True,a6eb4748fd2990ad2952b2335a95a7f952d1a06119a0aa6a2df6cd052a93a3fa,,7.682742128148675,1424,51,stop,98983529f9187c599a50a257044720cc22dbdeba8952a84d6e8d64ceee06f2fc,39223f24e7a2f577f7c47ce0dbd0dfb5607bab089380901c2d6fb82a75dc84b3,False,ABSTAIN,0.9764320388084788,HIGH_VOLATILITY|NEGATIVE_MOMENTUM,,0.4603213209945287,0.45
