stage,run_id,arm,trust,memory,controller,core,sampling_seed,prompt_variant,source,note,arm_key,config_key
6.4,20260909T114202240674964Z,llama_no_risk,adaptive,expanding,off,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_4_COMPONENT_SUITE_V1/artifacts/20260909T114202240674964Z/arms/llama_no_risk/DAILY_LEDGER.csv,,6.4:llama_no_risk,trust=adaptive|memory=expanding|controller=off|core=original
6.4,20260909T114202240674964Z,llama_uniform_allocator,adaptive,expanding,on,uniform_allocator,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE6_4_COMPONENT_SUITE_V1/artifacts/20260909T114202240674964Z/arms/llama_uniform_allocator/DAILY_LEDGER.csv,,6.4:llama_uniform_allocator,trust=adaptive|memory=expanding|controller=on|core=uniform_allocator
7,20260911T053155161422662Z,closed_loop_memory,fixed,expanding,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE7_SEQUENTIAL_MEMORY_VALIDATION_V1/artifacts/20260911T053155161422662Z/closed_loop/closed_loop_memory/DAILY_LEDGER.csv,,7:closed_loop_memory,trust=fixed|memory=expanding|controller=on|core=original
7,20260911T053155161422662Z,closed_loop_no_memory,fixed,none,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE7_SEQUENTIAL_MEMORY_VALIDATION_V1/artifacts/20260911T053155161422662Z/closed_loop/closed_loop_no_memory/DAILY_LEDGER.csv,,7:closed_loop_no_memory,trust=fixed|memory=none|controller=on|core=original
7,20260911T053155161422662Z,state_controlled_memory,fixed,expanding,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE7_SEQUENTIAL_MEMORY_VALIDATION_V1/artifacts/20260911T053155161422662Z/state_controlled/state_controlled_memory/DAILY_LEDGER.csv,state-controlled replay,7:state_controlled_memory,trust=fixed|memory=expanding|controller=on|core=original
7,20260911T053155161422662Z,state_controlled_no_memory,fixed,none,on,original,16061,frozen_llama_role,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_STAGE7_SEQUENTIAL_MEMORY_VALIDATION_V1/artifacts/20260911T053155161422662Z/state_controlled/state_controlled_no_memory/DAILY_LEDGER.csv,state-controlled replay,7:state_controlled_no_memory,trust=fixed|memory=none|controller=on|core=original
ISO,20260920T084300Z,llm_adaptive_memory_controller_off,adaptive,expanding,off,original,42,model_neutralized_frozen_v1,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_FULL_PIPELINE_ISOLATION_V1/artifacts/20260920T084300Z/cells/llama3.3_70b__seed_42/arms/llm_adaptive_memory_controller_off/DAILY_LEDGER.csv,,ISO:llm_adaptive_memory_controller_off,trust=adaptive|memory=expanding|controller=off|core=original
ISO,20260920T084300Z,llm_adaptive_memory_controller_on,adaptive,expanding,on,original,42,model_neutralized_frozen_v1,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_FULL_PIPELINE_ISOLATION_V1/artifacts/20260920T084300Z/cells/llama3.3_70b__seed_42/arms/llm_adaptive_memory_controller_on/DAILY_LEDGER.csv,,ISO:llm_adaptive_memory_controller_on,trust=adaptive|memory=expanding|controller=on|core=original
ISO,20260920T084300Z,llm_adaptive_no_memory_controller_off,adaptive,none,off,original,42,model_neutralized_frozen_v1,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_FULL_PIPELINE_ISOLATION_V1/artifacts/20260920T084300Z/cells/llama3.3_70b__seed_42/arms/llm_adaptive_no_memory_controller_off/DAILY_LEDGER.csv,,ISO:llm_adaptive_no_memory_controller_off,trust=adaptive|memory=none|controller=off|core=original
ISO,20260920T084300Z,llm_adaptive_no_memory_controller_on,adaptive,none,on,original,42,model_neutralized_frozen_v1,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_FULL_PIPELINE_ISOLATION_V1/artifacts/20260920T084300Z/cells/llama3.3_70b__seed_42/arms/llm_adaptive_no_memory_controller_on/DAILY_LEDGER.csv,,ISO:llm_adaptive_no_memory_controller_on,trust=adaptive|memory=none|controller=on|core=original
ISO,20260920T084300Z,llm_fixed_memory_controller_off,fixed,expanding,off,original,42,model_neutralized_frozen_v1,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_FULL_PIPELINE_ISOLATION_V1/artifacts/20260920T084300Z/cells/llama3.3_70b__seed_42/arms/llm_fixed_memory_controller_off/DAILY_LEDGER.csv,,ISO:llm_fixed_memory_controller_off,trust=fixed|memory=expanding|controller=off|core=original
ISO,20260920T084300Z,llm_fixed_memory_controller_on,fixed,expanding,on,original,42,model_neutralized_frozen_v1,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_FULL_PIPELINE_ISOLATION_V1/artifacts/20260920T084300Z/cells/llama3.3_70b__seed_42/arms/llm_fixed_memory_controller_on/DAILY_LEDGER.csv,,ISO:llm_fixed_memory_controller_on,trust=fixed|memory=expanding|controller=on|core=original
ISO,20260920T084300Z,llm_fixed_no_memory_controller_off,fixed,none,off,original,42,model_neutralized_frozen_v1,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_FULL_PIPELINE_ISOLATION_V1/artifacts/20260920T084300Z/cells/llama3.3_70b__seed_42/arms/llm_fixed_no_memory_controller_off/DAILY_LEDGER.csv,,ISO:llm_fixed_no_memory_controller_off,trust=fixed|memory=none|controller=off|core=original
ISO,20260920T084300Z,llm_fixed_no_memory_controller_on,fixed,none,on,original,42,model_neutralized_frozen_v1,/home/infonet/wahid/leader_router_fresh/EXPERIMENT_BRANCHES/RAMAS_FULL_PIPELINE_ISOLATION_V1/artifacts/20260920T084300Z/cells/llama3.3_70b__seed_42/arms/llm_fixed_no_memory_controller_on/DAILY_LEDGER.csv,,ISO:llm_fixed_no_memory_controller_on,trust=fixed|memory=none|controller=on|core=original
