[2026-09-25T01:43:39.960937Z] new extension in runs/extension: 14928 planned calls
[2026-09-25T01:43:40.478293Z] model block: qwen3-coder:30b (repeat 1)
[2026-09-25T01:48:34.513094Z] 113/14928 r1-qwen3-coder_30b-s0618-hidden valid=True action=BTC latency=2.2s
[2026-09-25T01:48:37.673168Z] 114/14928 r1-qwen3-coder_30b-s0618-exposed valid=True action=ABSTAIN latency=3.2s
[2026-09-25T01:48:40.453977Z] 115/14928 r1-qwen3-coder_30b-s0746-exposed valid=True action=BTC latency=2.8s
[2026-09-25T01:48:42.220126Z] 116/14928 r1-qwen3-coder_30b-s0746-hidden valid=True action=BTC latency=1.8s
[2026-09-25T01:48:44.014812Z] 117/14928 r1-qwen3-coder_30b-s0939-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-25T01:48:46.953584Z] 118/14928 r1-qwen3-coder_30b-s0939-exposed valid=True action=ABSTAIN latency=2.9s
[2026-09-25T01:48:48.878613Z] 119/14928 r1-qwen3-coder_30b-s1148-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T01:48:51.904890Z] 120/14928 r1-qwen3-coder_30b-s1148-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T01:48:54.966539Z] 121/14928 r1-qwen3-coder_30b-s1048-exposed valid=True action=BTC latency=3.1s
[2026-09-25T01:48:56.953901Z] 122/14928 r1-qwen3-coder_30b-s1048-hidden valid=True action=BTC latency=2.0s
[2026-09-25T01:48:59.786482Z] 123/14928 r1-qwen3-coder_30b-s0891-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-25T01:49:01.632642Z] 124/14928 r1-qwen3-coder_30b-s0891-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-25T01:49:04.652883Z] 125/14928 r1-qwen3-coder_30b-s1084-exposed valid=True action=BTC latency=3.0s
[2026-09-25T01:49:06.680397Z] 126/14928 r1-qwen3-coder_30b-s1084-hidden valid=True action=BTC latency=2.0s
[2026-09-25T01:49:09.456731Z] 127/14928 r1-qwen3-coder_30b-s0977-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-25T01:49:11.085729Z] 128/14928 r1-qwen3-coder_30b-s0977-hidden valid=True action=BTC latency=1.6s
[2026-09-25T01:49:14.009835Z] 129/14928 r1-qwen3-coder_30b-s0205-exposed valid=True action=CASH latency=2.9s
[2026-09-25T01:49:15.821568Z] 130/14928 r1-qwen3-coder_30b-s0205-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:49:18.942034Z] 131/14928 r1-qwen3-coder_30b-s0789-exposed valid=True action=BTC latency=3.1s
[2026-09-25T01:49:20.863267Z] 132/14928 r1-qwen3-coder_30b-s0789-hidden valid=True action=BTC latency=1.9s
[2026-09-25T01:49:22.638243Z] 133/14928 r1-qwen3-coder_30b-s0002-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:49:25.360272Z] 134/14928 r1-qwen3-coder_30b-s0002-exposed valid=True action=CASH latency=2.7s
[2026-09-25T01:49:28.552178Z] 135/14928 r1-qwen3-coder_30b-s0135-exposed valid=True action=CASH latency=3.2s
[2026-09-25T01:49:30.341061Z] 136/14928 r1-qwen3-coder_30b-s0135-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:49:32.177781Z] 137/14928 r1-qwen3-coder_30b-s0979-hidden valid=True action=BTC latency=1.8s
[2026-09-25T01:49:35.121207Z] 138/14928 r1-qwen3-coder_30b-s0979-exposed valid=True action=BTC latency=2.9s
[2026-09-25T01:49:37.211027Z] 139/14928 r1-qwen3-coder_30b-s0557-hidden valid=True action=BTC latency=2.1s
[2026-09-25T01:49:40.228952Z] 140/14928 r1-qwen3-coder_30b-s0557-exposed valid=True action=BTC latency=3.0s
[2026-09-25T01:49:42.065811Z] 141/14928 r1-qwen3-coder_30b-s0520-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-25T01:49:45.212870Z] 142/14928 r1-qwen3-coder_30b-s0520-exposed valid=True action=ABSTAIN latency=3.1s
[2026-09-25T01:49:46.984691Z] 143/14928 r1-qwen3-coder_30b-s0541-hidden valid=True action=BTC latency=1.8s
[2026-09-25T01:49:49.710009Z] 144/14928 r1-qwen3-coder_30b-s0541-exposed valid=True action=BTC latency=2.7s
[2026-09-25T01:49:51.453200Z] 145/14928 r1-qwen3-coder_30b-s0482-hidden valid=True action=BTC latency=1.7s
[2026-09-25T01:49:54.451152Z] 146/14928 r1-qwen3-coder_30b-s0482-exposed valid=True action=BTC latency=3.0s
[2026-09-25T01:49:56.669937Z] 147/14928 r1-qwen3-coder_30b-s0087-hidden valid=True action=BTC latency=2.2s
[2026-09-25T01:49:59.790246Z] 148/14928 r1-qwen3-coder_30b-s0087-exposed valid=True action=ABSTAIN latency=3.1s
[2026-09-25T01:50:02.558321Z] 149/14928 r1-qwen3-coder_30b-s1002-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-25T01:50:04.403970Z] 150/14928 r1-qwen3-coder_30b-s1002-hidden valid=True action=BTC latency=1.8s
[2026-09-25T01:50:07.264423Z] 151/14928 r1-qwen3-coder_30b-s0601-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-25T01:50:08.936035Z] 152/14928 r1-qwen3-coder_30b-s0601-hidden valid=True action=ABSTAIN latency=1.7s
[2026-09-25T01:50:10.535993Z] 153/14928 r1-qwen3-coder_30b-s0357-hidden valid=True action=CASH latency=1.6s
[2026-09-25T01:50:13.442415Z] 154/14928 r1-qwen3-coder_30b-s0357-exposed valid=True action=CASH latency=2.9s
[2026-09-25T01:50:16.741221Z] 155/14928 r1-qwen3-coder_30b-s0992-exposed valid=True action=ABSTAIN latency=3.3s
[2026-09-25T01:50:18.673453Z] 156/14928 r1-qwen3-coder_30b-s0992-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T01:50:20.684407Z] 157/14928 r1-qwen3-coder_30b-s0707-hidden valid=True action=BTC latency=2.0s
[2026-09-25T01:50:23.728767Z] 158/14928 r1-qwen3-coder_30b-s0707-exposed valid=True action=BTC latency=3.0s
[2026-09-25T01:50:26.783494Z] 159/14928 r1-qwen3-coder_30b-s0068-exposed valid=True action=CASH latency=3.1s
[2026-09-25T01:50:28.562095Z] 160/14928 r1-qwen3-coder_30b-s0068-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:50:30.304995Z] 161/14928 r1-qwen3-coder_30b-s0057-hidden valid=True action=CASH latency=1.7s
[2026-09-25T01:50:33.425028Z] 162/14928 r1-qwen3-coder_30b-s0057-exposed valid=True action=CASH latency=3.1s
[2026-09-25T01:50:35.439691Z] 163/14928 r1-qwen3-coder_30b-s1066-hidden valid=True action=BTC latency=2.0s
[2026-09-25T01:50:38.345462Z] 164/14928 r1-qwen3-coder_30b-s1066-exposed valid=True action=BTC latency=2.9s
[2026-09-25T01:50:40.090415Z] 165/14928 r1-qwen3-coder_30b-s0620-hidden valid=True action=BTC latency=1.7s
[2026-09-25T01:50:43.263232Z] 166/14928 r1-qwen3-coder_30b-s0620-exposed valid=True action=ABSTAIN latency=3.2s
[2026-09-25T01:50:46.290222Z] 167/14928 r1-qwen3-coder_30b-s0747-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T01:50:48.100179Z] 168/14928 r1-qwen3-coder_30b-s0747-hidden valid=True action=BTC latency=1.8s
[2026-09-25T01:50:49.900383Z] 169/14928 r1-qwen3-coder_30b-s0489-hidden valid=True action=BTC latency=1.8s
[2026-09-25T01:50:52.625786Z] 170/14928 r1-qwen3-coder_30b-s0489-exposed valid=True action=BTC latency=2.7s
[2026-09-25T01:50:54.552293Z] 171/14928 r1-qwen3-coder_30b-s0499-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T01:50:57.637056Z] 172/14928 r1-qwen3-coder_30b-s0499-exposed valid=True action=ABSTAIN latency=3.1s
[2026-09-25T01:50:59.561555Z] 173/14928 r1-qwen3-coder_30b-s1025-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T01:51:02.608875Z] 174/14928 r1-qwen3-coder_30b-s1025-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T01:51:05.436928Z] 175/14928 r1-qwen3-coder_30b-s0269-exposed valid=True action=CASH latency=2.8s
[2026-09-25T01:51:07.306545Z] 176/14928 r1-qwen3-coder_30b-s0269-hidden valid=True action=CASH latency=1.9s
[2026-09-25T01:51:10.414458Z] 177/14928 r1-qwen3-coder_30b-s0902-exposed valid=True action=ABSTAIN latency=3.1s
[2026-09-25T01:51:12.344314Z] 178/14928 r1-qwen3-coder_30b-s0902-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T01:51:15.352123Z] 179/14928 r1-qwen3-coder_30b-s0619-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T01:51:16.813986Z] 180/14928 r1-qwen3-coder_30b-s0619-hidden valid=True action=CASH latency=1.5s
[2026-09-25T01:51:19.435453Z] 181/14928 r1-qwen3-coder_30b-s0448-exposed valid=True action=BTC latency=2.6s
[2026-09-25T01:51:21.192233Z] 182/14928 r1-qwen3-coder_30b-s0448-hidden valid=True action=BTC latency=1.8s
[2026-09-25T01:51:23.242830Z] 183/14928 r1-qwen3-coder_30b-s1082-hidden valid=True action=BTC latency=2.0s
[2026-09-25T01:51:26.269959Z] 184/14928 r1-qwen3-coder_30b-s1082-exposed valid=True action=BTC latency=3.0s
[2026-09-25T01:51:28.339448Z] 185/14928 r1-qwen3-coder_30b-s0684-hidden valid=True action=BTC latency=2.1s
[2026-09-25T01:51:31.263039Z] 186/14928 r1-qwen3-coder_30b-s0684-exposed valid=True action=BTC latency=2.9s
[2026-09-25T01:51:34.253425Z] 187/14928 r1-qwen3-coder_30b-s0625-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T01:51:36.173265Z] 188/14928 r1-qwen3-coder_30b-s0625-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T01:51:38.016417Z] 189/14928 r1-qwen3-coder_30b-s0524-hidden valid=True action=ABSTAIN latency=1.8s
[2026-09-25T01:51:41.021080Z] 190/14928 r1-qwen3-coder_30b-s0524-exposed valid=True action=ABSTAIN latency=3.0s
[2026-09-25T01:51:44.224317Z] 191/14928 r1-qwen3-coder_30b-s1206-exposed valid=True action=BTC latency=3.2s
[2026-09-25T01:51:45.924812Z] 192/14928 r1-qwen3-coder_30b-s1206-hidden valid=True action=BTC latency=1.7s
[2026-09-25T01:51:47.721075Z] 193/14928 r1-qwen3-coder_30b-s0155-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:51:50.585546Z] 194/14928 r1-qwen3-coder_30b-s0155-exposed valid=True action=CASH latency=2.9s
[2026-09-25T01:51:52.338847Z] 195/14928 r1-qwen3-coder_30b-s0166-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:51:55.285974Z] 196/14928 r1-qwen3-coder_30b-s0166-exposed valid=True action=CASH latency=2.9s
[2026-09-25T01:51:57.093637Z] 197/14928 r1-qwen3-coder_30b-s0468-hidden valid=True action=BTC latency=1.8s
[2026-09-25T01:51:59.929996Z] 198/14928 r1-qwen3-coder_30b-s0468-exposed valid=True action=BTC latency=2.8s
[2026-09-25T01:52:02.713143Z] 199/14928 r1-qwen3-coder_30b-s0598-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-25T01:52:04.470465Z] 200/14928 r1-qwen3-coder_30b-s0598-hidden valid=True action=BTC latency=1.8s
[2026-09-25T01:52:07.994231Z] 201/14928 r1-qwen3-coder_30b-s0276-exposed valid=True action=CASH latency=3.0s
[2026-09-25T01:52:09.760655Z] 202/14928 r1-qwen3-coder_30b-s0276-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:52:11.627935Z] 203/14928 r1-qwen3-coder_30b-s0863-hidden valid=True action=ABSTAIN latency=1.9s
[2026-09-25T01:52:14.937963Z] 204/14928 r1-qwen3-coder_30b-s0863-exposed valid=True action=ABSTAIN latency=3.3s
[2026-09-25T01:52:16.695245Z] 205/14928 r1-qwen3-coder_30b-s0152-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:52:19.613225Z] 206/14928 r1-qwen3-coder_30b-s0152-exposed valid=True action=CASH latency=2.9s
[2026-09-25T01:52:21.414879Z] 207/14928 r1-qwen3-coder_30b-s0157-hidden valid=True action=CASH latency=1.8s
[2026-09-25T01:52:24.281883Z] 208/14928 r1-qwen3-coder_30b-s0157-exposed valid=True action=CASH latency=2.9s
[2026-09-25T01:52:27.131032Z] 209/14928 r1-qwen3-coder_30b-s0307-exposed valid=True action=ABSTAIN latency=2.8s
[2026-09-25T01:52:28.819808Z] 210/14928 r1-qwen3-coder_30b-s0307-hidden valid=True action=ABSTAIN latency=1.7s
[2026-09-25T01:52:30.694287Z] 211/14928 r1-qwen3-coder_30b-s0825-hidden valid=True action=BTC latency=1.9s
[2026-09-25T01:52:33.158728Z] 212/14928 r1-qwen3-coder_30b-s0825-exposed valid=True action=BTC latency=2.5s
[2026-09-25T01:52:36.054099Z] 213/14928 r1-qwen3-coder_30b-s0249-exposed valid=True action=CASH latency=2.9s
[2026-09-25T01:52:37.778550Z] 214/14928 r1-qwen3-coder_30b-s0249-hidden valid=True action=CASH latency=1.7s
[2026-09-25T01:52:39.732930Z] 215/14928 r1-qwen3-coder_30b-s1236-hidden valid=True action=BTC latency=2.0s
